Metodo,Semilla,Costo_m,Mejora_pct,Gap_optimo_pct,Tiempo_ms,Evaluaciones,Ruta
Simulated Annealing,3.0,13072.9,58.81,0.4,336.51,92611,"['Cliente 12', 'Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 2', 'Cliente 1']"
Algoritmo Genético,3.0,13031.4,58.94,0.08,936.57,79400,"['Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 1', 'Cliente 2', 'Cliente 12']"
Simulated Annealing,4.0,13072.9,58.81,0.4,337.28,92611,"['Cliente 12', 'Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 2', 'Cliente 1']"
Algoritmo Genético,4.0,13031.4,58.94,0.08,887.41,79400,"['Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 1', 'Cliente 2', 'Cliente 12']"
Simulated Annealing,5.0,13021.0,58.98,0.0,346.35,92611,"['Cliente 2', 'Cliente 12', 'Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 1']"
Algoritmo Genético,5.0,13031.4,58.94,0.08,904.87,79400,"['Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 1', 'Cliente 2', 'Cliente 12']"
Simulated Annealing,6.0,13846.1,56.38,6.34,351.9,92611,"['Cliente 1', 'Cliente 11', 'Cliente 2', 'Cliente 12', 'Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10']"
Algoritmo Genético,6.0,13031.4,58.94,0.08,881.75,79400,"['Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 1', 'Cliente 2', 'Cliente 12']"
Simulated Annealing,7.0,14354.4,54.77,10.24,333.12,92611,"['Cliente 11', 'Cliente 12', 'Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 1', 'Cliente 2']"
Algoritmo Genético,7.0,13031.4,58.94,0.08,966.25,79400,"['Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 1', 'Cliente 2', 'Cliente 12']"
Simulated Annealing,8.0,13072.9,58.81,0.4,328.73,92611,"['Cliente 12', 'Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 2', 'Cliente 1']"
Algoritmo Genético,8.0,13031.4,58.94,0.08,967.92,79400,"['Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 1', 'Cliente 2', 'Cliente 12']"
Simulated Annealing,9.0,13072.9,58.81,0.4,359.77,92611,"['Cliente 12', 'Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 2', 'Cliente 1']"
Algoritmo Genético,9.0,13031.4,58.94,0.08,918.25,79400,"['Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 1', 'Cliente 2', 'Cliente 12']"
